SampleID,pub_ID,author,year,sp_name,clone.strain,polymer,size_um_mean,size_um_SD,size_nm_mean,size_nm_SD,shape,modified,mod_type,surface_charge,company,MP_comments,age_d,generation,food_present,temperature,pH,DOM_added,DOM_conditioned,DOM_cond_dur_h,DOM_conc_mg_L,DOM_type,DOM_comment,DOM_type_grouped,exp_time_h,exp_time_d,conc_p_ml-1,conc_mg_ml-1,conc_mg_l-1,c_n_replicates,c_ind_per_replicate,c_n_individuals,c_mean,c_SD,c_SE,c_immobile,c_mobile,t_n_replicates,t_ind_per_replicate,t_n_individuals,t_mean,t_SD,t_SE,t_immobile,t_mobile,data_comment
49,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.29,no,yes,168,329.9,wastewater_influent,,stream water,72,3,8570,NA,100,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.063,NA,NA,NA,NA,"Data extracted from Fig. S8 B1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
50,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.29,no,yes,168,329.9,wastewater_influent,,stream water,72,3,17100,NA,200,3,5,15,0.338,NA,NA,NA,NA,3,5,15,0.135,NA,NA,NA,NA,"Data extracted from Fig. S8 B1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
51,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.44,no,yes,336,292.44,wastewater_influent,,stream water,72,3,854,NA,10,3,5,15,0.14,NA,NA,NA,NA,3,5,15,0.33,NA,NA,NA,NA,"Data extracted from Fig. S8 B2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
52,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.44,no,yes,336,292.44,wastewater_influent,,stream water,72,3,2130,NA,25,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.2,NA,NA,NA,NA,"Data extracted from Fig. S8 B2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
53,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.44,no,yes,336,292.44,wastewater_influent,,stream water,72,3,4270,NA,50,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.134,NA,NA,NA,NA,"Data extracted from Fig. S8 B2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
54,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.44,no,yes,336,292.44,wastewater_influent,,stream water,72,3,8570,NA,100,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.68,NA,NA,NA,NA,"Data extracted from Fig. S8 B2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
55,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.44,no,yes,336,292.44,wastewater_influent,,stream water,72,3,17100,NA,200,3,5,15,0.338,NA,NA,NA,NA,3,5,15,0,NA,NA,NA,NA,"Data extracted from Fig. S8 B2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
56,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.44,no,yes,504,287.61,wastewater_influent,,stream water,72,3,854,NA,10,3,5,15,0.14,NA,NA,NA,NA,3,5,15,0.07,NA,NA,NA,NA,"Data extracted from Fig. S8 B3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
57,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.44,no,yes,504,287.61,wastewater_influent,,stream water,72,3,2130,NA,25,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.07,NA,NA,NA,NA,"Data extracted from Fig. S8 B3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
58,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.44,no,yes,504,287.61,wastewater_influent,,stream water,72,3,4270,NA,50,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.07,NA,NA,NA,NA,"Data extracted from Fig. S8 B3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
59,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.44,no,yes,504,287.61,wastewater_influent,,stream water,72,3,17100,NA,200,3,5,15,0.338,NA,NA,NA,NA,3,5,15,0,NA,NA,NA,NA,"Data extracted from Fig. S8 B3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
60,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,22,8.44,no,yes,504,287.61,wastewater_influent,,stream water,72,3,8570,NA,100,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.07,NA,NA,NA,NA,"Data extracted from Fig. S8 B3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
61,Fadare2019,Fadare,2019,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,MP was tested. but discarded for eco-corona testing (only with NP,0,0,no,20,NA,yes,no,NA,1,humic acid,Different HA conc. with 400 mg/L of NP conc.,humic acid,96,4,NA,NA,400,3,15,45,1,NA,NA,45,NA,3,15,45,0.87,NA,NA,NA,NA,Data extracted from Fig.2 D
62,Fadare2019,Fadare,2019,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,MP was tested. but discarded for eco-corona testing (only with NP,0,0,no,20,NA,yes,no,NA,5,humic acid,Different HA conc. with 400 mg/L of NP conc.,humic acid,96,4,NA,NA,400,3,15,45,1,NA,NA,45,NA,3,15,45,0.26,NA,NA,NA,NA,Data extracted from Fig.2 D
63,Fadare2019,Fadare,2019,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,MP was tested. but discarded for eco-corona testing (only with NP,0,0,no,20,NA,yes,no,NA,10,humic acid,Different HA conc. with 400 mg/L of NP conc.,humic acid,96,4,NA,NA,400,3,15,45,1,NA,NA,45,NA,3,15,45,0.06,NA,NA,NA,NA,Data extracted from Fig.2 D
64,Fadare2019,Fadare,2019,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,MP was tested. but discarded for eco-corona testing (only with NP,0,0,no,20,NA,yes,no,NA,20,humic acid,Different HA conc. with 400 mg/L of NP conc.,humic acid,96,4,NA,NA,400,3,15,45,1,NA,NA,45,NA,3,15,45,0.07,NA,NA,NA,NA,Data extracted from Fig.2 D
65,Fadare2019,Fadare,2019,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,MP was tested. but discarded for eco-corona testing (only with NP,0,0,no,20,NA,yes,no,NA,50,humic acid,Different HA conc. with 400 mg/L of NP conc.,humic acid,96,4,NA,NA,400,3,15,45,1,NA,NA,45,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig.2 D
66,Fadare2019,Fadare,2019,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,MP was tested. but discarded for eco-corona testing (only with NP,0,0,no,21,NA,yes,no,NA,5,humic acid,400 mg/L from Fig. 2C,humic acid,96,4,NA,NA,400,3,15,45,1,NA,NA,45,NA,3,15,45,0.266,NA,NA,NA,NA,Data extracted from Fig.2 C
67,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,natural organic matter,,natural organic matter,96,4,NA,NA,1,3,15,45,0,NA,NA,NA,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig. 1B; control from Fig. 1A
68,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,natural organic matter,,natural organic matter,96,4,NA,NA,10,3,15,45,0.467,NA,NA,NA,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig. 1B; control from Fig. 1A
69,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,natural organic matter,,natural organic matter,96,4,NA,NA,50,3,15,45,0.664,NA,NA,NA,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig. 1B; control from Fig. 1A
70,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,natural organic matter,,natural organic matter,96,4,NA,NA,100,3,15,45,0.93,NA,NA,NA,NA,3,15,45,0.201,NA,NA,NA,NA,Data extracted from Fig. 1B; control from Fig. 1A
71,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,natural organic matter,,natural organic matter,96,4,NA,NA,200,3,15,45,1,NA,NA,NA,NA,3,15,45,0.401,NA,NA,NA,NA,Data extracted from Fig. 1B; control from Fig. 1A
72,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,natural organic matter,,natural organic matter,96,4,NA,NA,400,3,15,45,1,NA,NA,NA,NA,3,15,45,0.673,NA,NA,NA,NA,Data extracted from Fig. 1B; control from Fig. 1A
73,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,fulvic acid,,fulvic acid,96,4,NA,NA,1,3,15,45,0,NA,NA,NA,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig. 1C; control from Fig. 1A
74,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,fulvic acid,,fulvic acid,96,4,NA,NA,10,3,15,45,0.467,NA,NA,NA,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig. 1C; control from Fig. 1A
75,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,fulvic acid,,fulvic acid,96,4,NA,NA,50,3,15,45,0.667,NA,NA,NA,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig. 1C; control from Fig. 1A
76,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,fulvic acid,,fulvic acid,96,4,NA,NA,100,3,15,45,0.93,NA,NA,NA,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig. 1C; control from Fig. 1A
77,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,fulvic acid,,fulvic acid,96,4,NA,NA,200,3,15,45,1,NA,NA,NA,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig. 1C; control from Fig. 1A
78,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,fulvic acid,,fulvic acid,96,4,NA,NA,400,3,15,45,1,NA,NA,NA,NA,3,15,45,0.532,NA,NA,NA,NA,Data extracted from Fig. 1C; control from Fig. 1A
79,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,humic acid,,humic acid,96,4,NA,NA,1,3,15,45,0,NA,NA,NA,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig. 1D; control from Fig. 1A
80,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,humic acid,,humic acid,96,4,NA,NA,10,3,15,45,0.467,NA,NA,NA,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig. 1D; control from Fig. 1A
81,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,humic acid,,humic acid,96,4,NA,NA,50,3,15,45,0.667,NA,NA,NA,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig. 1D; control from Fig. 1A
82,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,humic acid,,humic acid,96,4,NA,NA,100,3,15,45,0.93,NA,NA,NA,NA,3,15,45,0,NA,NA,NA,NA,Data extracted from Fig. 1D; control from Fig. 1A
83,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,humic acid,,humic acid,96,4,NA,NA,200,3,15,45,1,NA,NA,NA,NA,3,15,45,0.0638,NA,NA,NA,NA,Data extracted from Fig. 1D; control from Fig. 1A
84,Fadare2020,Fadare,2020,Daphnia magna,Bham2,PS,0.11,0.2,110,0.2,spherical,yes,amino-modified,NA,Sigma Aldrich,,0,0,no,NA,NA,yes,no,NA,10,humic acid,,humic acid,96,4,NA,NA,400,3,15,45,1,NA,NA,NA,NA,3,15,45,0.334,NA,NA,NA,NA,Data extracted from Fig. 1D; control from Fig. 1A
85,Grintzalis2019,Grintzalis,2019,Daphnia magna,NA,PS,0.085,0.001,85,1,spherical,yes,amino-modified,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),"stock concentration of 20 mg/mL --> diluted to 10 ug/mL in filtered OECD media; shape is not explicitly mentioned, but they mention ""particles' diameter""",5,0,yes,20,NA,no,yes,24,NA,metabolites excreted from Daphnia and C. vulgaris,,metabolites,24,1,NA,0.01,NA,1,3,3,0,0,0,0,3,1,3,3,0,NA,NA,NA,NA,"mortality was implicit in the text: ""at the end of the exposure period, all animals were alive (...)"""
86,Kalcikova2020,Kalcikova,2020,Daphnia magna,NA,PE,303.5,134.1,303500,134100,fragment,yes,absorbed silver,NA,from a body scrub bought in an international store,,0,0,no,21,NA,no,yes,672,1.49,stream water,,stream water,48,2,NA,0.01,10,4,5,20,1,NA,NA,NA,NA,4,5,20,1,NA,NA,NA,NA,From the text: both concentrations of microplastics with adsorbed Ag (MPAg and MPBIOAg) caused 100% inhibition of mobility of daphnids . MPAg is the control.
87,Kalcikova2020,Kalcikova,2020,Daphnia magna,NA,PE,303.5,134.1,303500,134100,fragment,yes,absorbed silver,NA,from a body scrub bought in an international store,,0,0,no,21,NA,no,yes,672,1.49,stream water,,stream water,48,2,NA,0.1,100,4,5,20,1,NA,NA,NA,NA,4,5,20,1,NA,NA,NA,NA,From the text: both concentrations of microplastics with adsorbed Ag (MPAg and MPBIOAg) caused 100% inhibition of mobility of daphnids . MPAg is the control.
88,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,carboxylated,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2019,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,6,1,NA,0.0001,0.1,3,10,30,0,NA,NA,NA,NA,3,10,30,0,NA,NA,NA,NA,Extract from Fig.2A + calculate proportion dead/immobile
89,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,carboxylated,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2020,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,6,1,NA,0.001,1,3,10,30,0,NA,NA,NA,NA,3,10,30,0.066,NA,NA,NA,NA,Extract from Fig.2A + calculate proportion dead/immobile
90,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,carboxylated,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2021,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,6,1,NA,0.01,10,3,10,30,0.3,NA,NA,NA,NA,3,10,30,0.33,NA,NA,NA,NA,Extract from Fig.2A + calculate proportion dead/immobile
91,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,carboxylated,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2022,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,6,1,NA,0.1,100,3,10,30,1,NA,NA,NA,NA,3,10,30,0.97,NA,NA,NA,NA,Extract from Fig.2A + calculate proportion dead/immobile
92,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,carboxylated,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2023,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,6,1,NA,1,1000,3,10,30,1,NA,NA,NA,NA,3,10,30,1,NA,NA,NA,NA,Extract from Fig.2A + calculate proportion dead/immobile
93,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,amino-modified,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2024,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,6,1,NA,0.0001,0.1,3,10,30,0.09,NA,NA,NA,NA,3,10,30,0.09,NA,NA,NA,NA,Extract from Fig.2B + calculate proportion dead/immobile
94,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,amino-modified,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2025,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,6,1,NA,0.001,1,3,10,30,0.166,NA,NA,NA,NA,3,10,30,0.166,NA,NA,NA,NA,Extract from Fig.2B + calculate proportion dead/immobile
95,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,amino-modified,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2026,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,6,1,NA,0.01,10,3,10,30,0.39,NA,NA,NA,NA,3,10,30,0.4662,NA,NA,NA,NA,Extract from Fig.2B + calculate proportion dead/immobile
96,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,amino-modified,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2027,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,6,1,NA,0.1,100,3,10,30,0.97,NA,NA,NA,NA,3,10,30,0.96,NA,NA,NA,NA,Extract from Fig.2B + calculate proportion dead/immobile
97,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,amino-modified,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2028,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,6,1,NA,1,1000,3,10,30,1,NA,NA,NA,NA,3,10,30,1,NA,NA,NA,NA,Extract from Fig.2B + calculate proportion dead/immobile
98,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,carboxylated,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2029,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,24,1,NA,0.0001,0.1,3,10,30,0,NA,NA,NA,NA,3,10,30,0.066,NA,NA,NA,NA,Extract from Fig.2A + calculate proportion dead/immobile
99,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,carboxylated,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2030,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,24,1,NA,0.001,1,3,10,30,0,NA,NA,NA,NA,3,10,30,0.166,NA,NA,NA,NA,Extract from Fig.2A + calculate proportion dead/immobile
100,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,carboxylated,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2031,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,24,1,NA,0.01,10,3,10,30,0.3,NA,NA,NA,NA,3,10,30,0.51,NA,NA,NA,NA,Extract from Fig.2A + calculate proportion dead/immobile
101,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,carboxylated,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2032,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,24,1,NA,0.1,100,3,10,30,1,NA,NA,NA,NA,3,10,30,1,NA,NA,NA,NA,Extract from Fig.2A + calculate proportion dead/immobile
102,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,carboxylated,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2033,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,24,1,NA,1,1000,3,10,30,1,NA,NA,NA,NA,3,10,30,1,NA,NA,NA,NA,Extract from Fig.2A + calculate proportion dead/immobile
103,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,amino-modified,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2034,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,24,1,NA,0.0001,0.1,3,10,30,0.09,NA,NA,NA,NA,3,10,30,0.166,NA,NA,NA,NA,Extract from Fig.2B + calculate proportion dead/immobile
104,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,amino-modified,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2035,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,24,1,NA,0.001,1,3,10,30,0.166,NA,NA,NA,NA,3,10,30,0.32,NA,NA,NA,NA,Extract from Fig.2B + calculate proportion dead/immobile
105,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,amino-modified,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2036,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,24,1,NA,0.01,10,3,10,30,0.39,NA,NA,NA,NA,3,10,30,0.566,NA,NA,NA,NA,Extract from Fig.2B + calculate proportion dead/immobile
106,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,amino-modified,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2037,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,24,1,NA,0.1,100,3,10,30,0.97,NA,NA,NA,NA,3,10,30,0.96,NA,NA,NA,NA,Extract from Fig.2B + calculate proportion dead/immobile
107,Nasser2016,Nasser,2016,Daphnia magna,Bham 2,PS,0.085,0.001,85,1,spherical,yes,amino-modified,NA,from a previous project funded by the 7th Framework Programme of the European Commission (QualityNano),size from Grintzalis2038,<3,NA,no,NA,NA,no ,yes,6,NA,metabolites excreted from Daphnia ,,metabolites,24,1,NA,1,1000,3,10,30,1,NA,NA,NA,NA,3,10,30,1,NA,NA,NA,NA,Extract from Fig.2B + calculate proportion dead/immobile
108,Pochelon2021,Pochelon,2021,Daphnia magna,NA,PS,0.02,NA,20,NA,spherical,yes,amino-modified,positive,"IHS (St. Paul, MN, USA)",all amidified,2,NA,no,NA,NA,yes,no,NA,1,humic acid,SYNW-SRHA,humic acid,48,2,NA,NA,0.5,3,5,15,0.2,NA,NA,NA,NA,3,5,15,0.1,NA,NA,NA,NA,Data extracted from Fig.4B (control as SYNW)
